"MORALG","CARESG","KNOWG","LEADG","DISHONG","INTELG","MORALB","CARESB","KNOWB","LEADB","DISHONB","INTELB","VOTE3","AGE","EDUC","GENDER","PARTY"
"2 Quite well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well",NA,"4 Not well at all",NA,"3 Not too well",NA,1,32,6,2,2
"3 Not too well","2 Quite well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well",NA,67,3,1,4
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","2 Quite well","4 Not well at all",1,40,5,1,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,33,4,2,6
"1 Extremely well","3 Not too well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,40,4,1,6
"3 Not too well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,73,6,1,7
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,35,3,2,7
"3 Not too well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well",2,73,6,1,7
"2 Quite well","2 Quite well","1 Extremely well","3 Not too well","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,61,4,2,7
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well",NA,28,4,1,4
"2 Quite well",NA,"2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","4 Not well at all","4 Not well at all","4 Not well at all",NA,"2 Quite well",1,50,4,2,2
"1 Extremely well","2 Quite well","3 Not too well","3 Not too well","4 Not well at all","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,42,6,2,7
"1 Extremely well","3 Not too well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,43,7,1,7
"1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","3 Not too well","3 Not too well","2 Quite well","3 Not too well",1,55,5,1,3
"3 Not too well","3 Not too well","3 Not too well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,36,6,2,4
"1 Extremely well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","1 Extremely well",2,30,6,2,4
"1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,75,1,2,2
NA,"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well",NA,"4 Not well at all",NA,"3 Not too well",NA,"3 Not too well",NA,71,1,1,1
"1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","4 Not well at all","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well",2,38,6,2,7
"1 Extremely well","2 Quite well","1 Extremely well","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well",1,44,6,2,2
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","2 Quite well","2 Quite well","3 Not too well",1,54,5,2,7
NA,"3 Not too well",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,1,2,3
"1 Extremely well","1 Extremely well",NA,"1 Extremely well","1 Extremely well",NA,"3 Not too well",NA,NA,NA,"3 Not too well","2 Quite well",NA,82,3,2,3
"2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well",NA,24,3,2,3
"4 Not well at all","3 Not too well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,19,4,2,7
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,49,5,1,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well",1,50,3,2,2
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,48,5,2,5
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","2 Quite well",NA,NA,"3 Not too well",NA,29,2,1,3
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,51,7,2,3
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","3 Not too well",1,37,6,1,3
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","3 Not too well",3,21,4,2,3
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well",2,56,7,1,5
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well",NA,53,3,2,5
"3 Not too well","4 Not well at all","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,50,6,1,7
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","1 Extremely well",1,39,3,2,4
NA,"1 Extremely well","2 Quite well","2 Quite well",NA,"2 Quite well",NA,"2 Quite well","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well",1,41,1,1,1
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well","1 Extremely well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",3,21,3,2,6
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","1 Extremely well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well",NA,21,2,2,3
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","2 Quite well","3 Not too well",3,20,3,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well",2,36,3,1,6
"4 Not well at all","4 Not well at all","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well",2,54,4,2,5
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,57,7,2,5
"3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","4 Not well at all","2 Quite well","4 Not well at all","3 Not too well",NA,46,3,2,4
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","2 Quite well","3 Not too well",1,46,7,2,1
"3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","3 Not too well","2 Quite well",2,28,6,1,6
"3 Not too well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,36,3,1,7
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",NA,40,2,2,2
"4 Not well at all","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well",2,53,4,1,5
"2 Quite well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","4 Not well at all",NA,19,2,1,NA
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",NA,18,2,2,4
"2 Quite well","3 Not too well","3 Not too well","3 Not too well",NA,"2 Quite well","4 Not well at all","3 Not too well","2 Quite well","2 Quite well",NA,"3 Not too well",NA,38,1,1,5
"2 Quite well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,20,3,2,4
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well",1,31,3,2,1
"2 Quite well","2 Quite well","2 Quite well",NA,NA,"2 Quite well",NA,"3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,81,5,1,2
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,30,7,1,2
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all",1,80,6,2,2
"1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","3 Not too well",NA,"3 Not too well","2 Quite well",1,52,6,2,2
"2 Quite well",NA,"2 Quite well",NA,"3 Not too well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well",NA,"3 Not too well","2 Quite well",2,41,3,1,3
"3 Not too well","3 Not too well","1 Extremely well","4 Not well at all","2 Quite well","1 Extremely well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well",2,49,6,1,7
"2 Quite well","3 Not too well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,49,3,2,6
NA,"3 Not too well",NA,"3 Not too well",NA,NA,NA,"2 Quite well",NA,NA,"3 Not too well",NA,2,21,4,2,6
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,57,3,2,2
"2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,39,3,2,2
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,36,4,2,4
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","4 Not well at all","2 Quite well","3 Not too well",NA,44,3,2,1
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,26,3,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,22,4,1,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well",NA,79,2,2,2
"2 Quite well",NA,"2 Quite well","2 Quite well",NA,"2 Quite well","2 Quite well",NA,"2 Quite well","2 Quite well",NA,"2 Quite well",NA,66,3,1,4
NA,"4 Not well at all","2 Quite well","4 Not well at all","2 Quite well","2 Quite well",NA,"4 Not well at all","1 Extremely well","4 Not well at all",NA,"4 Not well at all",NA,88,3,1,3
NA,"3 Not too well",NA,"2 Quite well",NA,"3 Not too well",NA,"3 Not too well","4 Not well at all","3 Not too well","2 Quite well","3 Not too well",NA,38,3,2,4
"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","3 Not too well",NA,25,3,2,1
"3 Not too well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well",2,82,1,2,3
"3 Not too well",NA,NA,NA,"3 Not too well",NA,"2 Quite well","4 Not well at all","3 Not too well","3 Not too well","2 Quite well","2 Quite well",NA,65,NA,2,4
NA,"3 Not too well","2 Quite well","2 Quite well",NA,"2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,27,4,1,4
"2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well",1,33,3,2,6
"2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well",NA,NA,"2 Quite well","3 Not too well",NA,"2 Quite well",NA,60,3,2,2
NA,NA,"1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well","1 Extremely well","3 Not too well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well",1,52,6,1,2
"3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","1 Extremely well","3 Not too well","3 Not too well",NA,24,5,1,2
"1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well","2 Quite well","2 Quite well",1,76,2,1,1
"3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,65,6,1,5
"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well","3 Not too well","2 Quite well","1 Extremely well",1,46,5,1,1
NA,"2 Quite well","2 Quite well","2 Quite well","4 Not well at all",NA,NA,"4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,73,3,1,2
"4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,40,3,1,2
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",NA,56,3,2,6
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",NA,31,5,2,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well",1,43,7,1,3
"2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all",NA,"4 Not well at all","4 Not well at all","3 Not too well",1,66,7,1,4
"1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,51,3,2,1
"2 Quite well","3 Not too well","2 Quite well","2 Quite well",NA,"2 Quite well","2 Quite well","2 Quite well","2 Quite well",NA,"3 Not too well","2 Quite well",2,35,6,2,6
"2 Quite well","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well",NA,"3 Not too well",NA,"3 Not too well","4 Not well at all",NA,1,70,1,1,1
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",1,28,4,2,2
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",1,33,2,2,4
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well",NA,NA,"3 Not too well",NA,"1 Extremely well",1,52,3,2,1
"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","3 Not too well","4 Not well at all","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well",1,47,7,1,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well",NA,"3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",1,67,7,1,1
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,24,3,2,7
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,32,6,2,7
"4 Not well at all","4 Not well at all","2 Quite well","3 Not too well",NA,"2 Quite well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,46,3,2,7
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all",1,34,5,2,5
"2 Quite well",NA,NA,NA,NA,NA,"1 Extremely well",NA,NA,"4 Not well at all","3 Not too well",NA,1,56,5,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,47,7,2,1
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","4 Not well at all","3 Not too well",1,53,7,1,1
"2 Quite well",NA,"2 Quite well","3 Not too well","3 Not too well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,59,5,2,5
"1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",NA,"3 Not too well",1,48,7,2,1
"3 Not too well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well",1,43,6,2,4
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well",1,29,6,2,2
"3 Not too well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","4 Not well at all","1 Extremely well","3 Not too well",1,56,7,1,2
NA,"4 Not well at all",NA,NA,NA,"2 Quite well","4 Not well at all","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","1 Extremely well",1,67,4,1,4
"3 Not too well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","3 Not too well",NA,"1 Extremely well","1 Extremely well",NA,"1 Extremely well",2,70,4,2,4
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well",NA,"1 Extremely well","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all",1,46,6,1,1
"2 Quite well","3 Not too well","2 Quite well","3 Not too well",NA,"3 Not too well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,65,6,1,5
"2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",NA,"3 Not too well","3 Not too well","3 Not too well",NA,"3 Not too well",1,62,3,2,2
"4 Not well at all","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,35,4,2,7
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",1,56,6,2,1
"4 Not well at all","4 Not well at all","4 Not well at all","4 Not well at all","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,45,3,1,7
"1 Extremely well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",2,50,6,1,5
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well",NA,"2 Quite well","3 Not too well","4 Not well at all","4 Not well at all","4 Not well at all",NA,"4 Not well at all",1,53,3,2,3
"1 Extremely well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well",1,53,6,2,4
"1 Extremely well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","1 Extremely well","3 Not too well","3 Not too well","3 Not too well","1 Extremely well","3 Not too well",NA,43,3,1,4
"1 Extremely well","2 Quite well","2 Quite well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,56,3,2,2
"2 Quite well","3 Not too well","2 Quite well","3 Not too well",NA,"2 Quite well",NA,NA,NA,NA,NA,NA,2,26,3,1,5
NA,NA,NA,NA,NA,NA,"2 Quite well","1 Extremely well","1 Extremely well","2 Quite well","4 Not well at all","1 Extremely well",NA,33,3,2,5
"4 Not well at all","4 Not well at all","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well",2,32,3,2,3
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","4 Not well at all","3 Not too well","2 Quite well","4 Not well at all",3,54,4,1,3
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well",NA,67,4,2,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","2 Quite well","3 Not too well","3 Not too well",3,49,3,1,3
"2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","1 Extremely well","4 Not well at all","2 Quite well",2,55,6,1,7
"4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","4 Not well at all","2 Quite well","2 Quite well","1 Extremely well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,25,6,1,6
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well",NA,NA,"2 Quite well","2 Quite well",NA,"1 Extremely well",1,42,3,2,4
"1 Extremely well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well","2 Quite well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","3 Not too well",1,23,6,2,4
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","3 Not too well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,59,3,2,1
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","3 Not too well","3 Not too well","3 Not too well",1,75,3,2,1
"2 Quite well",NA,"3 Not too well","3 Not too well",NA,"3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well",2,79,4,2,6
"2 Quite well","2 Quite well","1 Extremely well","2 Quite well","3 Not too well","1 Extremely well","3 Not too well","4 Not well at all","3 Not too well","2 Quite well","2 Quite well","3 Not too well",1,36,4,1,3
"1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","4 Not well at all","4 Not well at all","3 Not too well","3 Not too well","4 Not well at all",1,55,3,2,2
"2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,23,6,1,4
NA,"4 Not well at all","2 Quite well",NA,NA,"4 Not well at all","3 Not too well","3 Not too well",NA,NA,NA,"3 Not too well",NA,25,5,2,4
NA,"4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well",NA,"4 Not well at all","2 Quite well","2 Quite well","3 Not too well","2 Quite well",1,43,4,2,2
"1 Extremely well","1 Extremely well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","1 Extremely well","2 Quite well","2 Quite well","3 Not too well","3 Not too well","2 Quite well",1,44,4,2,2
"1 Extremely well","2 Quite well","1 Extremely well","1 Extremely well","4 Not well at all","1 Extremely well","2 Quite well","4 Not well at all","3 Not too well","2 Quite well","3 Not too well","2 Quite well",NA,84,1,2,2
NA,"3 Not too well","2 Quite well",NA,"4 Not well at all","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","4 Not well at all",NA,2,38,6,1,6
"2 Quite well","3 Not too well","2 Quite well","4 Not well at all","4 Not well at all","2 Quite well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","4 Not well at all","2 Quite well",NA,71,3,2,4
"3 Not too well","3 Not too well","3 Not too well","3 Not too well","3 Not too well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","2 Quite well","3 Not too well","2 Quite well",2,82,3,1,6
